Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5
Gastroenteritis, sunken_eyes, dehydration, diarrhoea,,
Gastroenteritis, vomiting, dehydration, diarrhoea,,
Gastroenteritis, vomiting, sunken_eyes, dehydration, diarrhoea,
Gastroenteritis, vomiting, sunken_eyes, dehydration,,
Gastroenteritis, vomiting, sunken_eyes, diarrhoea,,
GERD, acidity, ulcers_on_tongue, vomiting, cough, chest_pain
GERD, stomach_pain, acidity, ulcers_on_tongue, cough, chest_pain
GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting, chest_pain
GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting, cough
GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting, cough
GERD, stomach_pain, acidity, vomiting, cough, chest_pain
GERD, stomach_pain, ulcers_on_tongue, vomiting, cough, chest_pain
Peptic ulcer diseae, indigestion, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching
Peptic ulcer diseae, vomiting, indigestion, abdominal_pain, passage_of_gases, internal_itching
Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, abdominal_pain, internal_itching
Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, abdominal_pain, passage_of_gases
Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, abdominal_pain, passage_of_gases
Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, passage_of_gases, internal_itching
Peptic ulcer diseae, vomiting, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching
