Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4
Drug Reaction,Hentikan iritasi,Konsultasikan dengan rumah sakit terdekat,berhenti minum obat,menindaklanjuti
Malaria,Konsultasikan dengan rumah sakit terdekat,Hindari makanan berminyak,Hindari Makanan Non Veget,Jauhkan nyamuk
Allergy,Terapkan Calamine,Area penutup dengan perban,,Gunakan es untuk mengompres gatal
Hypothyroidism,mengurangi stres,latihan,makan sehat,tidur nyenyak
Psoriasis,Cuci tangan dengan air sabun hangat,Hentikan Pendarahan Menggunakan Tekanan,Konsultasikan dengan dokter,mandi garam
GERD,Hindari makanan pedas berlemak,Hindari berbaring setelah makan,mempertahankan berat badan yang sehat,latihan
Chronic cholestasis,mandi air dingin,obat anti gatal,Konsultasikan dengan dokter,makan sehat
hepatitis A,Konsultasikan dengan rumah sakit terdekat,Cuci tangan melalui,Hindari makanan pedas berlemak,pengobatan
Osteoarthristis,parasetamol,Konsultasikan dengan rumah sakit terdekat,menindaklanjuti,mandi garam
(vertigo) Paroymsal  Positional Vertigo,berbaring,Hindari perubahan tubuh yang tiba -tiba,Hindari gerakan kepala yang tiba -tiba,santai
Hypoglycemia,berbaring di samping,Periksa pulsa,Minum minuman manis,Konsultasikan dengan dokter
Acne,mandi dua kali,Hindari makanan pedas berlemak,Minum banyak air,Hindari terlalu banyak produk
Diabetes ,memiliki diet seimbang,latihan,Konsultasikan dengan dokter,menindaklanjuti
Impetigo,Rendam area yang terkena di air hangat,Gunakan antibiotik,Hapus keropeng dengan kain tekan basah,Konsultasikan dengan dokter
Hypertension ,meditasi,mandi garam,mengurangi stres,tidur nyenyak
Peptic ulcer diseae,Hindari makanan pedas berlemak,Konsumsi makanan probiotik,menghilangkan susu,Batasi alkohol
Dimorphic hemmorhoids(piles),Hindari makanan pedas berlemak,mengkonsumsi witch hazel,mandi air hangat dengan garam epsom,Konsumsi jus lidah buaya
Common Cold,Minum minuman kaya vitamin C,Ambil uap,Hindari makanan dingin,tetap demam di cek
Chicken pox,Gunakan Neem dalam mandi,mengkonsumsi daun neem,Ambil vaksin,Hindari tempat umum
Cervical spondylosis,Gunakan pad pemanas atau paket dingin,latihan,Ambil pereda nyeri OTC,Konsultasikan dengan dokter
Hyperthyroidism,makan sehat,pijat,Gunakan Lemon Balm,Ambil pengobatan yodium radioaktif
Urinary tract infection,Minum banyak air,Tingkatkan asupan vitamin C,Minum jus cranberry,Ambil probiotik
Varicose veins,berbaring telentang dan angkat kaki tinggi,Gunakan salep,Gunakan kompresi vena,jangan diam lama
AIDS,Hindari potongan terbuka,Kenakan APD jika memungkinkan,Konsultasikan dengan dokter,menindaklanjuti
Paralysis (brain hemorrhage),pijat,makan sehat,latihan,Konsultasikan dengan dokter
Typhoid,makan sayuran kalori tinggi,Terapi antibiotik,Konsultasikan dengan dokter,pengobatan
Hepatitis B,Konsultasikan dengan rumah sakit terdekat,Vaksinasi,makan sehat,pengobatan
Fungal infection,mandi dua kali,Gunakan Dettol atau Neem dalam air mandi,Jaga agar area yang terinfeksi tetap kering,Gunakan kain bersih
Hepatitis C,Konsultasikan dengan rumah sakit terdekat,Vaksinasi,makan sehat,pengobatan
Migraine,meditasi,mengurangi stres,Gunakan kacamata polaroid di bawah sinar matahari,Konsultasikan dengan dokter
Bronchial Asthma,Beralih ke pakaian longgar,Ambil napas dalam -dalam,menjauh dari pemicu,mencari bantuan
Alcoholic hepatitis,Hentikan konsumsi alkohol,Konsultasikan dengan dokter,pengobatan,menindaklanjuti
Jaundice,Minum banyak air,Konsumsi susu thistle,makan buah -buahan dan makanan berserat tinggi,pengobatan
Hepatitis E,Hentikan konsumsi alkohol,istirahat,Konsultasikan dengan dokter,pengobatan
Dengue,Minumlah jus daun pepaya,Hindari makanan pedas berlemak,Jauhkan nyamuk,tetap terhidrasi
Hepatitis D,Konsultasikan dengan dokter,pengobatan,makan sehat,menindaklanjuti
Heart attack,Panggil ambulans,mengunyah atau menelan aspirin,tetap tenang,
Pneumonia,Konsultasikan dengan dokter,pengobatan,istirahat,menindaklanjuti
Arthritis,latihan,Gunakan terapi panas dan dingin,Coba akupunktur,pijat
Gastroenteritis,berhenti makan makanan padat untuk sementara,Cobalah minum air kecil,istirahat,mudah kembali untuk makan
Tuberculosis,Tutup mulut,Konsultasikan dengan dokter,pengobatan,istirahat
